behavior_cohort_dimension,behavior_cohort_band,trust_classification,agent_delegation_classification,skill_read_presence_classification,window_count,windows_present,min_cohort_size,max_cohort_size,window_signal_count_sum,window_attributed_signal_count_sum,mean_attributed_signal_share,max_agent_delegation_user_count,max_skill_read_user_count,readiness_decisions
depth_repertoire_band,ACTIVE_BUT_SHALLOW,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,3,1|2|3,6,199,0,0,,199,199,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,2718,4151,47831,0,0.0,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,54,216,2763,0,0.0,0,216,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,34,50,196,0,0.0,50,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,1,1,5,5,6,0,0.0,5,5,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,38,76,609,0,0.0,76,0,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,1,1,5,5,16,0,0.0,5,5,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,8074,14731,133951,0,0.0,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,22,4929,23576,0,0.0,0,4929,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,28,162,563,0,0.0,162,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,1,1,11,11,76,0,0.0,11,11,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,49,230,1784,0,0.0,230,0,CONTINUE_RESEARCH
depth_repertoire_band,ACTIVE_BUT_SHALLOW,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,1,1,36,36,213,0,0.0,36,36,CONTINUE_RESEARCH
depth_repertoire_band,FOCUSED_INTEGRATION,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,925114,962938,0,0,,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,FOCUSED_INTEGRATION,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,100,383,0,0,,0,383,CONTINUE_RESEARCH
depth_repertoire_band,FOCUSED_INTEGRATION,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,70,924,0,0,,924,0,CONTINUE_RESEARCH
depth_repertoire_band,FOCUSED_INTEGRATION,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,135,241,5274,0,0.0,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,10178,14438,130655,80904,0.616189224482111,0,0,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,1447,8691,77971,37592,0.5534892186521819,0,8691,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,2749,3771,38467,25145,0.6533607168665667,3771,0,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,3,1|2|3,381,2484,21135,10662,0.5661609577539745,2484,2484,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,8095,16164,231341,116429,0.49314448271928607,16164,0,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,3,1|2|3,2047,12106,185787,68834,0.37033751787089725,12106,12106,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,311399,413451,0,0,,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,17859,62509,0,0,,0,62509,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,38727,54444,0,0,,54444,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,3,1|2|3,3229,10402,0,0,,10402,10402,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,77732,111939,0,0,,111939,0,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,3,1|2|3,9070,20530,0,0,,20530,20530,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,17645,21976,412625,0,0.0,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,1676,5915,102332,0,0.0,0,5915,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,1525,3632,54372,0,0.0,3632,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,3,1|2|3,362,947,14983,0,0.0,947,947,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,2486,8750,111795,0,0.0,8750,0,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,3,1|2|3,1410,2869,41137,0,0.0,2869,2869,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,26713,93534,658036,0,0.0,0,0,HOLD_FOR_EVIDENCE_GAPS
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,2555,53327,361107,0,0.0,0,53327,CONTINUE_RESEARCH
depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,4755,13359,101581,0,0.0,13359,0,HOLD_FOR_EVIDENCE_GAPS
